tit,tex,tex_en,tok_en,sentiments,blobpol,blobsub,sianeg,sianeu,siapos,siacomp
"Cómo despedirse de alguien, a quien ya no saludas, en siete pasos","A Patricia  Primero: Dibújate un interrogante en los labios a juego con tu blanca incredulidad Segundo: Aviva los recuerdos buscando el último cruce de caminos en el que fingiste tener más prisa que tiempo y tiraste la promesa de un café dos papeleras después. Tercero: Cálzate la culpa y dirígete, al compás de vuestra banda sonora, al pie de una escalera a su cielo… que se derrumbará ante tu impertinente falta de fe. Cuarto: Pasa horas desenterrando fotos del fondo de las carpetas olvidadas en un rincón enmarañado de tu memoria externa. Quinto: Ten cuidado de no resbalar bajo la lluvia de despedidas que inundan su perfil bueno en las redes en las que también erais asociales. Sexto: Coge el interrogante de tus labios y úsalo para colgar alguna de esas fotos desenterradas en su muro (o en el tuyo) y márcala con algún verso que os pueda etiquetar juntas en un intento de perdurar justo en el punto final. Séptimo: Cae en la cuenta de que ninguno de estos pasos no te ha servido absolutamente para nada y… LLORA, JODER, LLORA. Y mira como del charco que se va acumulando en tus manos florecen todos los momentos compartidos enredándose en las hojas del diario en las que incrustaste su nombre Y LLORA, JODER, LLORA para regarlas y que no se marchiten nunca. Para qué coño quieres despedirte de alguien a quien ya no saludas si puedes sonreírle a su fantasma y coger carrerilla para saltar a los brazos de todos los que siguen vivos.","A Patricia first: Draw a question on the lips matching with your white disbelief second: Aviva the memories looking for the last crossing of roads in which you feigned to get hasty than time and threw the promise of a coffee two bins later. Third: Calzate the guilt and head, to the beat of your soundtrack, at the foot of a staircase to his heaven ... who will collapse before your impertinent lack of faith. Fourth: Spend Hours Unestring Photos of the Background of the Forgotten Folders in a matted corner of your external memory. Fifth: Be careful not to slip under the rain of farewells that flood their good profile in the networks in which it was also associates. Sixth: Take the question of your lips and use it to hang some detrimental photos on your wall (or yours) and marry it with some verse that can tag you together in an attempt to endure right at the end point. Seventh: Fall into account that none of these steps has not served you absolutely at all and ... cries, fuck, cry. And look how the puddle that is accumulating in your hands flower all the shared moments entangled on the leaves of the diary where you embedded the name of him and cries, fuck, cries to water them and never wither. For what pussy you want to say goodbye to someone who no longer greets if you can smile at the ghost of him and catch his run to jump into the arms of all those who are still alive.",patricia draw question lip match white disbelief second aviva memory look crossing road feign hasty time throw promise coffee bin later calzate guilt head beat soundtrack foot staircase heaven collapse impertinent lack faith fourth spend hour unestre photos background forgotten folders matted corner external memory fifth careful slip rain farewell flood good profile network associate sixth question lip use hang detrimental photo wall marry verse tag attempt endure right end point seventh fall account step serve absolutely cry fuck cry look puddle accumulate hand flower share moment entangle leave diary embed cry fuck cry water wither pussy want goodbye long greet smile ghost catch run jump arm alive,"[0.04540816326530611, 0.3739795918367347, 0.234, 0.582, 0.185, -0.8454]",0.04540816326530611,0.3739795918367347,0.234,0.582,0.185,-0.8454
Números rojos,"Números rojos  Subí la apuesta a que te bajaba los pantalones y acabé comprándole las pilas a mi premio de consolación. Ganaste la partida haciéndome perder el tiempo, creo que también perdí las bragas...  Buscando las llaves en el fondo del bolso encontré el ticket de tus promesas con la fecha de devolución caducada.  Mira que yo como pago al contado nunca me falta un beso, pero como tú para sumar uno más uno siempre fuiste corto de cambio, nunca logramos cuadrar las cuentas ni los triángulos amorosos.  Y ahora, todo son números sangrando en mi libreta cuando escribo en este banco del parque, capital de nuestro reino, sin dar crédito alguno a tus palabras.","Red numbers I went up the bet that lowered your pants and ended up buying the batteries to my consolation award.You won the game, making me waste time, I think I also lost the panties ... Looking for the keys at the bottom of the bag I found the ticket of your promises with the date of expired refund.Look, as a cash payment I never need a kiss, but like you to add one more one you were always short of change, we never manage the bills or love triangles.And now, everything are numbers bleeding in my notebook when I write on this bank of the park, capital of our kingdom, without giving any credit to your words.",red number go bet lower pant end buy battery consolation award win game make waste time think lose pantie look key bag find ticket promise date expired refund look cash payment need kiss like add short change manage bill love triangle number bleed notebook write bank park capital kingdom give credit word,"[0.09999999999999999, 0.38571428571428573, 0.107, 0.556, 0.338, 0.9393]",0.09999999999999999,0.38571428571428573,0.107,0.556,0.338,0.9393
En espiral,"Sufro una crisis de infertilidad, y ya no sé como llamarle a este letargo-mascota. Salir, para poder volver a entrar y me he vuelto a dejar las llaves en una cerradura ajena.  Esta salida está empapada y se resbalan las manos directas a escribirte ""rómpeme el corazón desde las piernas"" en tu muro, desde el otro lado de la webcam.  Para variar subo a mi espiral, esa que gira desde tu epicentro hacia mis terremotos; me saben a poco todas tus ganas y me encierro entre las palabras que nunca te susurraré. Desde las yemas de mis dedos se escapa otro suspiro que acaba roto y húmedo, tendido sobre unas sábanas que nunca se deshacen.","I suffer a crisis of infertility, and I do not know how to call this lethargy-mascot.Go out, to be able to enter again and I have left the keys in an alien lock.This exit is soaked and the direct hands are slipped to write to you ""Rompeme my heart from the legs"" on your wall, from the other side of the webcam.To vary upload to my spiral, that it rotates from your epicenter towards my earthquakes;They know all your enthusiasm with little and I lock myself between the words I will never suffer.Since the tips of my fingers escapes another sigh that ends up broken and damp, lying on some sheets that never undo.",suffer crisis infertility know lethargy mascot able enter leave key alien lock exit soak direct hand slip write rompeme heart leg wall webcam vary upload spiral rotate epicenter know enthusiasm little lock word suffer tip finger escape sigh end broken damp lie sheet undo,"[-0.03958333333333334, 0.6124999999999999, 0.293, 0.56, 0.147, -0.872]",-0.03958333333333334,0.6124999999999999,0.293,0.56,0.147,-0.872
En mis recuerdos,"En mis recuerdos siempre hay un cenicero, ropa sucia en el suelo y más de un reloj perdiendo el tiempo.  Puedes encontrar cuadernos hechos con hojas de un otoño perenne; también hay un parque eterno que al atardecer se deja liar tras una cortina de humo.  Todas las piedras del camino tiran sus tropiezos sobre mis tejados y esconden las casas sin construir.  Cada mirada perdida encuentra un secreto y cada mano inocente guarda el silencio del que calla para siempre.  En mis recuerdos siempre hay cenizas porque me da miedo el fuego.","In my memories there is always an ashtray, dirty clothes on the floor and more than one clock losing time.You can find notebooks made with perennial autumn leaves;There is also an eternal park that at sunset is allowed to be liar after a smoke curtain.All the stones of the road pull their stumbles on my roofs and hide the unubstructed houses.Each lost look finds a secret and every innocent hand keeps the silence of the silence for always.In my memories there are always ashes because I am afraid of fire.",memory ashtray dirty clothe floor clock lose time find notebook perennial autumn eternal park sunset allow liar smoke curtain stone road pull stumble roof hide unubstructed house lose look find secret innocent hand keep silence silence memory ashe afraid fire,"[-0.22999999999999998, 0.6399999999999999, 0.29, 0.572, 0.138, -0.802]",-0.22999999999999998,0.6399999999999999,0.29,0.572,0.138,-0.802
Aquel rojo,"Me he vuelto a malpintar las uñas de aquel rojo que combinaba con mi ropa interior.  He encontrado el deseo colgando de un guiño. Estaba ahí, esperando en el espejo, a la vista de todos... cegándome.  He descubierto que a mi piel todavía le quedan unas cuantas caricias por delante.  Y por fin, he olvidado que ya no recuerdo cómo besar.","I have returned to mischiece the nails of that red that combined with my underwear.I have found the desire hanging from a wink.He was there, waiting in the mirror, in the sight of all ... blinding me.I have discovered that my skin still has a few caresses ahead.And finally, I forgot that I do not remember how to kiss.",return mischiece nail red combine underwear find desire hang wink wait mirror sight blind discover skin caress ahead finally forgot remember kiss,"[-0.16666666666666666, 0.5555555555555555, 0.099, 0.699, 0.202, 0.4215]",-0.16666666666666666,0.5555555555555555,0.099,0.699,0.202,0.4215
Notas al margen,"A veces me enamoro, otras abro los ojos. No siempre escribo, pero me gustaría. No me queda ningún cuaderno sin su mancha de café, sin su poema a medias y algún recuerdo inventado. Suena música y se desordenan las sonrisas aleatoriamente, despertando el pasado, invocando a fantasmas que ya creía muertos. Puede que este golpe de nostalgia cruja como las hojas en otoño, pero no es más que la falta de nieve en este invierno que no ha cuajado.  Y pasa el tiempo, pasa de todos nosotros, sin pararse siquiera a preguntar qué camino es el más corto.","Sometimes I fall in love, others open my eyes.I do not always write, but I would like it.I have no notebook without his coffee spot, without his half-hearted poem and some invented memory.It sounds music and mess up smiles randomly, awakening the past, invoking ghosts that I already believed dead.This coup of nostalgia may crush like the leaves in autumn, but it is nothing more than the lack of snow in this winter that has not curdled.And time passes, goes from all of us, not even stopping to ask what path is the shortest.",fall love open eye write like notebook coffee spot half hearted poem invent memory sound music mess smile randomly awaken past invoke ghost believe dead coup nostalgia crush like leave autumn lack snow winter curdle time pass go stop ask path short,"[-0.009166666666666662, 0.3391666666666667, 0.277, 0.525, 0.198, -0.4019]",-0.009166666666666662,0.3391666666666667,0.277,0.525,0.198,-0.4019
Carnaval de musas,"Estas musas que gustan de verme hundida, traen de visita con ellas todas las dudas que fueron certezas.  Certezas. Cortezas del árbol caído con el que hicimos leña sin remordimientos. Certezas que una vez nos arrancamos de la piel para dejar ver de qué están hechos los miedos. Certezas que se diluyen como un té de corteza de sauce.  Así duda a duda, las musas construyen una deforme silueta de la que fue aquella primera risa de bebé, que al romperse dio vida a las hadas.   Y ahora resuena una carcajada sin dueño, un eco vacío que golpea mi espalda obligándome a escribir.    Triste parodia. Triste desfiguración.  Pasen y vean el grotesco carnaval de la inspiración; los ciegos pagan el doble.   Ester Sinatxe (12-11-2015)","These muses that like to see me sunk, bring to them with them all the doubts that were certainties.Certainly.Bark of the fallen tree with which we made firewood without remorse.Certainly that once we start from the skin to let the fears are made of.Meanings that are diluted like a willow crust tea.Thus doubt a doubt, the muses build a deformed silhouette from which was that first baby laugh, which when breaking gave life to the fairies.And now he resonates a laugh without an owner, an empty echo that hits my back forcing me to write.Sad parody.Sad disfigurement.Pass and see the grotesque carnival of inspiration;The blind pay double.Ester Sinatxe (12-11-2015)",muse like sink bring doubt certainty certainly bark fall tree firewood remorse certainly start skin let fear meaning dilute like willow crust tea doubt doubt muse build deform silhouette baby laugh break give life fairy resonate laugh owner echo hit force write sad parody sad disfigurement pass grotesque carnival blind pay double ester sinatxe,"[-0.1134920634920635, 0.5566137566137567, 0.288, 0.474, 0.237, -0.4767]",-0.1134920634920635,0.5566137566137567,0.288,0.474,0.237,-0.4767
Su mente rota,"Los pasillos eran cubos y las vistas, líneas rectas. La simetría de las farolas y lo perpendicular de sus pensamientos rompían en un árbol que no se atrevía a desnudarse, demasiado perenne para ceder a los encantos del otoño.  Solo a ratos podía asomarse a respirar el aire sucio de la ciudad, entre las rendijas de unas ventanas entreabiertas que le recordaban que había vida más allá de su mente rota.  Había pasado de largo hace ya veinte años y unos cuantos kilómetros el punto para partir de cero; y así seguía en la puerta giratoria de la cordura, arrastrando sus pies por no dar un paso en falso; y mucho menos en firme.","The hallways were cubes and views, straight lines.The symmetry of the streetlights and the perpendicular of her thoughts broke into a tree that did not dare to undress, too perennial to yield to autumn charms.Only at times he could peek to breathe the dirty air of the city, among the slits of a detorable windows that reminded him that there was life beyond the broken mind of him.It had happened long and a few kilometers ago the point to split from scratch;And so he was still in the rotating door of the sanity, dragging his feet for not taking a false step;And much less firm.",hallway cube view straight line symmetry streetlight perpendicular thought break tree dare undress perennial yield autumn charm time peek breathe dirty air city slit detorable window remind life broken mind happen long kilometer ago point split rotate door sanity drag foot take false firm,"[-0.22142857142857145, 0.4386904761904762, 0.153, 0.757, 0.089, -0.5106]",-0.22142857142857145,0.4386904761904762,0.153,0.757,0.089,-0.5106
Y otra vez...,"Creía que tenía el tiempo en mis manos, y de mis dedos se escapa otro adiós a una oportunidad que nunca me dieron. Quizás sea mi inclinación al imposible, a la señal de peligro; quizás sea solo mi imaginación que tiene vida propia y ha soltado las cuerdas que me vuelven loca y me desatan.  Ideas, brillos, destellos, reflejos de un deseo contenido, de esos besos que no has dado (como cantaba Sabina)  Y otra vez mis latidos han corrido más que mis piernas por calles que nunca habían pisado, hasta llegar a tu puerta tirándola abajo. Me he encontrado una casa vacía, un abrazo olvidado en una esquina y mis maletas ya hechas.  No hay vuelta atrás cuando tus huellas se han perdido en el camino.","He thought he had time in my hands, and from my fingers another goodbye escapes at an opportunity they never gave me.Perhaps it is my inclination to the impossible, to the signal of danger;Maybe it's just my imagination that has its own life and has released the ropes that make me crazy and untouched me.Ideas, brightness, flashes, reflections of a content, of those kisses that you have not given (as sabina sang) and again my beats have run more than my legs by streets that had never stepped on, until you reach your door by pulling it down.I have found an empty house, a forgotten hug in a corner and my suitcases already made.There is no turning back when your traces have been lost on the road.",think time hand finger goodbye escape opportunity give inclination impossible signal imagination life release rope crazy untouche idea brightness flash reflection content kiss give sabina sing beat run leg street step reach door pull find house forget hug corner suitcase turn trace lose road,"[-0.6333333333333333, 0.95, 0.12, 0.583, 0.297, 0.8519]",-0.6333333333333333,0.95,0.12,0.583,0.297,0.8519
Y otros destinos escritos,"Me he acordado de la última vez que no me enamoré, y se me ha roto el hígado.  Me he hecho un atillo con las medias sonrisas, y me he encerrado en la maleta sin ruedas en la que arrastro la agorafobia.  Con sobrepaso del tiempo he dedicado la mañana (y parte del futuro), a esquivar aeropuertos y otros destinos escritos.  He abierto el cuaderno para viviseccionar imágenes, y una nota de la autora me advierte que ya debería haber pasado página.  Pero no puedo evitarlo. Lo llevo en la sangre. Te hierro, porque soy humana. Y he forjado cada palabra sobre el yunque de tu pecho.  Soy mi jaula. Soy mi trampa. Me abro de piedras en todos los caminos contra los que tropiezo y acabo en el río, perdida. Mojada, bajo el tormento de tus manos fantasmas.  Ester Sinatxe.","I have remembered the last time I did not fall in love, and my liver has been broken.I have made an atillo with the stockings smiles, and I have locked myself in the sleeved suitcase in which I drag the agoraphobia.With over time I have dedicated the morning (and part of the future), to dodge airports and other written destinations.I have opened the notebook to live images, and a note from the author warns me that it should have happened page.But I can not help it.I carry it in the blood.I iron, because I am human.And I have forged every word on the anvil of your chest.I am my cage.I am my trap.I open stones on all the ways against which I stumble and end up on the river, lost.Wet, under the torment of your ghost hands.Esther Sinatxe.",remember time fall love liver break atillo stocking smile lock sleeved suitcase drag agoraphobia time dedicate morning future dodge airport write destination open notebook live image note author warn happen page help carry blood iron human forge word anvil chest cage trap open stone way stumble end river lose wet torment ghost hand esther sinatxe,"[0.06863636363636363, 0.29958333333333337, 0.153, 0.665, 0.182, 0.6124]",0.06863636363636363,0.29958333333333337,0.153,0.665,0.182,0.6124
